<DOC>	<DOC>+BDTag
<S>	<S>+BSTag
Aile	AİLE+NOUN+A3SG+PNON+NOM
oteli	otel+NOUN+A3SG+P3SG+NOM
olarak	ol+VERB+POS^DB+ADV+BYDOINGSO
tavsiye	tavsiye+NOUN+A3SG+PNON+NOM
ederim	et+VERB+POS+AOR+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kullanmadım	kullan+VERB+NEG+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Pastaneden	pastane+NOUN+A3SG+PNON+ABL
yararlanmadım	yararlan+VERB+NEG+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Aradı	ara+VERB+POS+PAST+A3SG
sordu	sor+VERB+POS+PAST+A3SG
ilgiliydi	ilgili+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İyiydi	iyi+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Her	her+DET
şey	şey+NOUN+A3SG+PNON+NOM
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çok	çok+ADV
iyiydi	iyi+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çocuklu	çocuklu+ADJ
ailelere	aile+NOUN+A3PL+PNON+DAT
öneririm	öner+VERB+POS+AOR+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Beklentimi	beklenti+NOUN+A3SG+P1SG+ACC
karşıladı	karşıla+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çocuklu	çocuklu+ADJ
ailelere	aile+NOUN+A3PL+PNON+DAT
öneririm	öner+VERB+POS+AOR+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
10	10+NUM+CARD
puan	puan+NOUN+A3SG+PNON+NOM
veriyorum	ver+VERB+POS+PROG1+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Animasyonu	animasyon+NOUN+A3SG+PNON+ACC
hiç	hiç+ADV
beğenmedim	beğen+VERB+NEG+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Gayet	gayet+ADV
iyiydi	iyi+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Denizi	deniz+NOUN+A3SG+P3SG+NOM
çok	çok+ADV
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ben	ben+PRON+PERS+A1SG+PNON+NOM
yaptırmadım	yap+VERB^DB+VERB+CAUS+NEG+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Denizi	deniz+NOUN+A3SG+P3SG+NOM
çok	çok+ADV
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çok	çok+ADV
güzeldi	güzel+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
</DOC>	</DOC>+EDTag
